Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62636577,Kautilyanomics,Sriram Balasubramanian,"Balasubramanian, Sriram",Bibek Debroy,"=""9354350364""","=""9789354350368""",4,4.08,Bloomsbury Publishing India Pvt Ltd,Paperback,292,2022,,2026/01/18,2025/10/18,,,read,"Kautilyanomics by Sriram Balasubramanian is an interesting book that combines modern economics with the ancient wisdom of Kautilya, also known as Chanakya. While the Arthashastra is primarily known as a treatise on statecraft, politics, and military strategy, the author explores the economic policies and vision prescribed by Chanakya in the text and draws parallels with Bharat in the 21st century, highlighting the lessons we can learn from Kautilya.<br/><br/>The author first explores the depth of research and the level of understanding of Sanskrit, as well as Bharatiya culture, that are required as prerequisites to begin understanding the foundations of this treatise.<br/><br/>After a brief overview of the Arthashastra, he focuses on the foundations of economic policy as laid down by Chanakya. The fundamental worldview of Kautilya’s economic thought is rooted in Dharma. Dharma forms the basis for creating a sustainable society built on ethics, responsibilities, and social harmony.<br/><br/>He then explores different aspects of policymaking and modern-day economic functions such as trade, sustainability, the environment, growth, debt, wealth creation, gold, and manufacturing. The author also examines the unique nature of India as a civilization—our propensity to save gold as a hedge and hereditary treasure, the practice of community-based loans instead of traditional lending systems, and the way kings functioned as servants of the people rather than as authoritarian rulers.<br/><br/>He further attempts to extrapolate how Kautilya might have dealt with uncertainties such as the COVID pandemic and the lessons we can draw from such an approach.<br/><br/>Overall, the book serves as a good introduction to the Arthashastra from an economic perspective and piques the reader’s interest to explore the text in greater depth.",,,1,0
243241881,Unseen: The Untold Story of Deepinder Goyal and The Making of Zomato,Megha Vishwanath,"Vishwanath, Megha",Kamlesh D. Patel,"=""9373036483""","=""9789373036489""",0,4.25,Penguin Business,Kindle Edition,332,2025,,,2025/11/19,to-read,to-read (#83),to-read,,,,0,0
10089501,Sarama and Her Children: The Dog in Indian Myth,Bibek Debroy,"Debroy, Bibek",,"=""0143064703""","=""9780143064701""",0,3.32,Penguin,Paperback,243,2008,2008,,2025/11/11,to-read,to-read (#82),to-read,,,,0,0
29563694,Medieval Europe,Chris Wickham,"Wickham, Chris",,"=""0300208340""","=""9780300208344""",0,3.73,Yale University Press,Hardcover,352,2016,2016,,2025/10/26,to-read,to-read (#81),to-read,,,,0,0
65383273,A History of Indian Philosophy,Surendranath Dasgupta,"Dasgupta, Surendranath",,"=""1318730309""","=""9781318730308""",0,3.86,HardPress Publishing,Paperback,732,2024,1922,,2025/10/26,to-read,to-read (#80),to-read,,,,0,0
232337729,Our Living Constitution : A Concise Introduction & Commentary,Shashi Tharoor,"Tharoor, Shashi",,"=""9365235308""","=""9789365235302""",3,3.71,Aleph Book Company,Kindle Edition,,2025,,2025/10/14,2025/06/27,,,read,"Our Living Constitution by Dr. Shashi Tharoor is meant to be a concise introduction to the Indian Constitution and a primer on the duties and rights of Indian citizens. While the book begins with this premise, it quickly turns into a subtle—but not so subtle—critique of the present BJP government led by Modi and offers little in terms of a balanced perspective, something unexpected from a person of Dr. Tharoor’s caliber.<br/><br/>Dr. Tharoor walks us through the climate in which the Constitution was framed, the different arguments put forth by various members of the Constituent Assembly, and how the vision for India was deliberated. The overarching theme—and intent—of the nation’s founding fathers was to build an inclusive India that grants rights to every individual citizen regardless of birth, race, caste, religion, or other identifying factors. Most notably, he highlights how India chose a different path from Pakistan and was intentional in not becoming a Hindu majoritarian state, but one where people of all religions could claim first rights to being “Indian.”<br/><br/>Dr. Tharoor then presents the dissenters of the Constitution—figures like Veer Savarkar, M.S. Golwalkar, and Deen Dayal Upadhyaya—who had an alternative idea of India as a Hindu Rashtra and wanted a Constitution that reflected the soul of the nation. This India, they argued, would embrace people of all religions as long as they subscribed to the national cultural mainstream and revered its heroes. They strongly rejected the anglicized and westernized Constitution that was being formulated.<br/><br/>He then tries—unsuccessfully, I might add—to connect the ideals of Deen Dayal Upadhyaya with those of present-day BJP leaders. He argues that despite their obeisance to the Constitution, they are only paying lip service while fundamentally changing the freedoms and rights enshrined in it, reverting to a majoritarian state. However, the arguments he puts forth to support this narrative come across as weak, inconsistent, and at times not fact-based. For example, his comparison of the “suspension of rights” during the Emergency and during the COVID-19 lockdown—equating these two vastly different circumstances as proof of authoritarianism in the present government—seems laughable. Likewise, he argues for equality before law for all citizens and vehemently criticizes the CAA, calling it the first law to violate the fundamental principles of the Constitution by using religion as a basis for discrimination against Muslims. Yet, he sidesteps the same principle when it comes to the UCC, echoing the classic leftist view that minority rights and practices must be protected to maintain pluralism and diversity.<br/><br/>While Dr. Tharoor’s heart is in the right place, and his appeal to the youth of the country to be aware of their rights and duties and strengthen India’s democracy is commendable, I believe this book leaves much to be desired. It falls just one step short of being a full-blown propagandist agenda.",,,1,0
33869892,ಉತ್ತರಕಾಂಡ | Uttarakaanda,S.L. Bhyrappa,"Bhyrappa, S.L.",,"=""1234088053""","=""9781234088057""",0,4.38,Sahitya Bhandara,Hardcover,335,2017,2017,,2025/09/24,to-read,to-read (#79),to-read,,,,0,0
13625003,ಧರ್ಮಶ್ರೀ [Dharmashree],S.L. Bhyrappa,"Bhyrappa, S.L.",,"=""""","=""""",0,4.23,Saahitya Bhandara Prakashana,Paperback,264,1961,1961,,2025/09/24,to-read,to-read (#78),to-read,,,,0,0
241061213,The Cholas: Empire of The South,S. Krishnan,"Krishnan, S.",,"=""""","=""""",0,4.37,Oxygen Books,Paperback,296,2025,,,2025/09/01,to-read,to-read (#77),to-read,,,,0,0
239291297,The Gupta Empire: The Golden Age of Ancient India,S. Krishnan,"Krishnan, S.",,"=""""","=""""",0,5.00,Oxygen Books,Paperback,216,2025,,,2025/09/01,to-read,to-read (#76),to-read,,,,0,0
